"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3664","CYP2C18",127.479274993628,-2.29113988466464,0.251122876640426,-9.12358091511208,7.26821962751049e-20,4.15491314803524e-19
"3665","CYP2C19",2.04054174143399,-0.0480336975279939,0.417474451565368,-0.115057813353334,0.908399297832363,0.920666895161919
"3666","CYP2C8",7.64349041632598,-1.96129788963145,0.237996445616825,-8.24087050774342,1.70962181700496e-16,7.82642257441866e-16
"3667","CYP2C9",28.9373444320007,-0.545823873212618,0.341777666555421,-1.59701445303217,0.110262485563743,0.135804372786772
"3668","CYP2D6",63.075387044699,-0.000154868042671104,0.197579686492713,-0.000783825733405118,0.999374597612996,0.999374597612996
"3669","CYP2E1",27.8014761810559,0.535318531397987,0.238722066805654,2.24243421884327,0.0249333223080193,0.0338477733044914
"3670","CYP2F1",7.88593815691074,1.88645106086601,0.276406150403058,6.82492433006708,8.79716730793628e-12,2.85348546012445e-11
"3671","CYP2J2",1171.65130649904,-0.79101344761877,0.127691922451576,-6.19470231500933,5.83952895033127e-10,1.66181628400283e-09
"3672","CYP2R1",482.493241209169,0.176795079282411,0.0806119196760118,2.19316299615453,0.0282956375625741,0.0381739030145417
"3673","CYP2S1",6605.07826608385,1.27582451261095,0.141721942504054,9.00230754722019,2.21022397203875e-19,1.22468503070072e-18
"3674","CYP2U1",255.751385419845,-0.691163901177404,0.121312855488364,-5.69736734326311,1.21671585311039e-08,3.12204502036389e-08
"3675","CYP2W1",1845.39023656077,4.15976148855159,0.381244147541534,10.9110172979073,1.02107251508462e-27,9.53132136948284e-27
"3676","CYP39A1",358.092868145648,1.3822090259112,0.176551066172106,7.82894748743002,4.91971059755923e-15,2.03470400988057e-14
"3677","CYP3A4",34.8638045560485,-2.45062203024832,0.321564432326519,-7.62093622269749,2.51842361384476e-14,9.88772752648632e-14
"3678","CYP3A5",1801.86898235733,-0.47484919628788,0.18230116038047,-2.60475136470251,0.00919409524340619,0.0132659335962069
"3679","CYP3A7",22.2310928582047,-0.182006564603897,0.202963121714153,-0.896746970911442,0.369853950414597,0.415189149049042
"3680","CYP46A1",6.97955418171393,-1.03128480690095,0.201264609457351,-5.12402458475681,2.99081960434407e-07,6.8008166388631e-07
"3681","CYP4B1",18.5900153597918,-2.91660753050392,0.27532070932621,-10.5934912692972,3.19450466683894e-26,2.73232444045664e-25
"3682","CYP4F11",418.52329234728,0.0338951668378176,0.214747184606867,0.157837537660243,0.874584818612473,0.891617064884664
"3683","CYP4F12",875.117314362664,-1.27882689492572,0.177987942287703,-7.18490746333026,6.72527212734154e-13,2.37442424129558e-12
"3684","CYP4F2",330.772606024751,0.226961876843481,0.311651091154705,0.728256320241202,0.466456695348152,0.511546101758697
"3685","CYP4F22",5.70984737299697,-0.828746183948087,0.221279060358749,-3.74525353914862,0.000180211686857444,0.000315794030456566
"3686","CYP4F3",658.672494066966,1.15872387691106,0.195189397236585,5.93640788544779,2.91334475880794e-09,7.86709766822821e-09
"3687","CYP4F8",11.4059131263118,2.38941453596621,0.353160068630546,6.76581173299596,1.32563834108805e-11,4.25352854770987e-11
"3688","CYP4V2",812.064475304533,-0.904746754069716,0.104928711158039,-8.62248991800757,6.55137332758456e-18,3.28945657220728e-17
"3689","CYP4X1",385.555480951444,3.00665019024186,0.289094507607115,10.4002328343365,2.47328111745494e-25,2.00906709928895e-24
"3690","CYP4Z1",3.46972306907451,2.25174196497746,0.433444391408847,5.19499619699429,2.04724025328431e-07,4.72875417893984e-07
"3691","CYP51A1",410.367629325553,0.301546576049621,0.130283060874927,2.31454936677539,0.0206376065991727,0.0283658383734657
"3692","CYP7B1",33.6654162825693,-0.174787733518958,0.217042507275055,-0.80531567623964,0.420637537859733,0.465572518901001
"3693","CYP8B1",2.33328355440066,-1.95568722210268,0.269750374244612,-7.24998891133788,4.16805753760968e-13,1.4983981325858e-12
"3694","CYR61",2502.89203324071,0.137115766312162,0.202937098457934,0.675656483482168,0.499258770851683,0.543338338942278
"3695","CYS1",90.5042670593141,-2.1557683896143,0.203816664753881,-10.5769976768951,3.80970695383507e-26,3.24267790255511e-25
"3696","CYSLTR1",58.0688399961721,-1.74733538854298,0.182242630738978,-9.58796183668819,8.98421709446275e-22,5.79396601289668e-21
"3697","CYSLTR2",26.2160865776003,-1.40103810304628,0.212809278430729,-6.58353861907543,4.59381192659297e-11,1.418711654897e-10
"3698","CYSRT1",46.0008524176026,2.63573837927717,0.202557725919652,13.0122826335574,1.04182871905583e-38,1.91031966528713e-37
"3699","CYSTM1",4023.67854196845,-0.551736221639514,0.118478435902344,-4.65684930289155,3.21085291536361e-06,6.72585850283835e-06
"3700","CYTH1",1829.87508988377,-0.648119676095034,0.0747838550936084,-8.66657215362553,4.45324546580441e-18,2.25601840936406e-17
"3701","CYTH2",2493.09992311361,0.208139589787669,0.0767983164246737,2.71021032071476,0.00672405553581919,0.00984859291390581
"3702","CYTH3",923.661609464534,-0.153835815807597,0.0966594065363453,-1.59152452223832,0.111491581187128,0.137158824147013
"3703","CYTH4",358.35420294783,-0.942823205870497,0.178608751129609,-5.27870666978869,1.3009887455662e-07,3.05666575890682e-07
"3704","CYTIP",303.11006841656,-0.7776260890651,0.173943689469348,-4.47056223446458,7.8014237809594e-06,1.57617568491784e-05
"3705","CYTL1",20.0765134370892,-1.11668632950457,0.241273464174059,-4.62830147246932,3.68677057207185e-06,7.68009281170606e-06
"3706","CYYR1",209.356168044996,-0.986014706964285,0.142501611913812,-6.91932318323981,4.53806508005867e-12,1.50449808097879e-11
"3707","D2HGDH",1173.89287996807,0.4330487245962,0.143034457559268,3.02758322704697,0.0024651782013443,0.00381008633798075
"3708","D4S234E",129.069026032493,-1.21125468470572,0.216338007628349,-5.59889913928836,2.15717250228597e-08,5.42202175626442e-08
"3709","DAAM1",874.672221183887,-0.569119658183486,0.108143691930872,-5.26262464339834,1.42013322981826e-07,3.32599830308583e-07
"3710","DAAM2",315.865542600944,-1.97408754240128,0.159619145537596,-12.3674859663768,3.91896305005219e-35,5.72519657983938e-34
"3711","DAB1",38.9799841375906,0.703956154662545,0.28891181487945,2.43657793972972,0.0148269738291051,0.0207749114510906
"3712","DAB2",2570.17726522888,-0.0538293655718252,0.137548210456466,-0.39134907966587,0.69553922541842,0.730576264020123
"3713","DAB2IP",4116.00072159973,-0.886150496973691,0.097343896034308,-9.10329802971287,8.76295514796502e-20,4.97917863533115e-19
"3714","DACH1",1151.01589720341,2.0984003388769,0.206003229008819,10.1862497445953,2.28405967469591e-24,1.74740352469632e-23
"3715","DACH2",2.64757055307889,-1.63536874271455,0.394693329986784,-4.14339087708756,3.4220794119553e-05,6.48078259336465e-05
"3716","DACT1",395.111157704036,0.493830008983089,0.19357229314994,2.55113994336251,0.0107371202984752,0.0153293179614847
"3717","DACT2",98.5447448298731,-0.878466985001959,0.331267879626928,-2.65183266784357,0.00800562059150687,0.0116126194669184
"3718","DACT3",180.868652008992,-2.5760196915845,0.20506405889919,-12.5620243031027,3.41482693015493e-36,5.34800365303396e-35
"3719","DAD1",3922.0668321289,0.0783947982987476,0.0867093571338414,0.904110016381972,0.365937067675912,0.411200384580041
